Country,Regional Indicator,Population density (people per sq. km of land area),GDP per capita (current US$),"Unemployment, total (% of labour force)",Consumer price index (2010 = 100),Mean years of schooling (years),Life expectancy at birth (years),Healthy life expectancy (HALE) at birth (years),Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%),Age-standardized suicide rates (per 100 000 population),Gender Development Index (GDI),"Person held per 100,000 population","Carbon dioxide emissions, production emissions per capita (tonnes)","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",Forest area (% of land area),Happiness Index
Afghanistan,South Asia,56.93399810066478,498.8425436087934,11.119666666666667,147.34306616794467,3.88,64.48199999999999,53.94961,10.59,5.94,0.66,82.718352993,0.2505,56.910808354508106,1.8509940875532296,2.566900015
Albania,Central and Eastern Europe,104.550170316302,5071.447533363927,12.807,117.167089421321,10.085333333333333,78.45366666666666,69.07545,5.135,3.923333333333334,0.9673333333333334,185.41847188266664,1.599,18.2006025215914,28.792001216545003,4.882699966000001
Algeria,Middle East and North Africa,17.728018145829736,4080.461683946267,11.860666666666667,147.40328855611867,7.980333333333334,76.69066666666667,66.38806,6.3,2.5733333333333337,0.8596666666666667,148.3768710486667,3.6225,38.8840106983002,0.8134105821469816,5.005099773
Argentina,Latin America and Caribbean,16.2578425031699,12154.946383850569,9.118666666666668,141.82113954081638,10.690333333333333,76.52066666666667,67.12776,10.04,8.606666666666667,0.9926666666666666,206.3619940695,4.475,13.311833946835,10.520129548225533,5.974699974
Armenia,Commonwealth of Independent States,103.6676969909847,4246.571499571786,17.396999999999995,126.90719620110669,11.302,74.944,67.11749,10.195,2.2466666666666666,0.9793333333333332,90.64539646166666,1.7935,32.5281183420597,11.5521601685985,4.676799774
Australia,North America and ANZ,3.2479675039846496,55330.105177180936,5.385666666666666,117.79396462018732,12.697,83.281,70.93405,9.245,11.435533333333336,0.976,173.9147986195,16.921,8.55032440147794,17.421847577099367,7.222799778
Austria,Western Europe,107.11749474874769,49629.280186066964,5.0070000000000014,116.11186872861632,12.554666666666668,81.438,70.94293,10.355,10.787433333333334,0.965,101.57469064633335,7.84,12.477966730824802,47.163960252060136,7.294199944
Azerbaijan,Commonwealth of Independent States,120.248801550508,4564.228381211603,5.136333333333334,153.099965886111,10.578666666666667,72.85566666666666,63.645790000000005,3.625,3.9333333333333336,0.9403333333333332,221.76549485200002,3.71,19.9286636166698,13.413480956079864,5.164800167
Bahrain,Middle East and North Africa,2010.5474358974332,23793.607805417432,0.6883333333333334,117.18206163176431,9.447666666666667,77.16166666666669,65.87659000000001,4.44,6.989999999999998,0.9313333333333332,233.25437711700002,20.5435,70.8162076823101,0.8461538461538461,6.227300167
Bangladesh,South Asia,1239.68222836803,1705.8799978761901,4.281000000000001,170.35684134824533,6.114333333333334,72.32066666666667,64.29505,2.31,3.76,0.8983333333333333,53.708354043000014,0.5125,60.8457845768598,14.468771606360898,4.832799911
