,Country,Regional Indicator,Population density (people per sq. km of land area),GDP per capita (current US$),"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",Forest area (% of land area),Consumer price index (2010 = 100),Life expectancy at birth (years),Mean years of schooling (years),Gender Development Index (GDI),"Unemployment, total (% of labour force)","Carbon dioxide emissions, production emissions per capita (tonnes)",Healthy life expectancy (HALE) at birth (years),Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%),Age-standardized suicide rates (per 100 000 population),"Person held per 100,000 population",Happiness Index
0,Finland,Western Europe,18.146601079231367,48313.4367959024,5.86133100081928,73.7332192682285,111.17516112701134,81.73566666666667,12.805666666666667,0.9899999999999999,7.532,8.31,70.99583,9.09,14.079100000000002,54.22686266966667,7.808700085
1,Denmark,Western Europe,144.77531666666667,59659.254048820265,10.0296534385694,15.663833333333335,109.499151861441,80.78833333333334,12.610999999999999,0.9816666666666666,5.210333333333334,6.061,71.03516,10.055,8.03,63.578917098,7.645599842
2,Switzerland,Western Europe,215.45221858909733,85025.00435605017,10.3031001048906,31.942226989907635,99.0002367261161,83.62766666666667,13.288333333333334,0.9676666666666667,4.697,4.4195,72.52425,11.89,10.0261,77.20603376300001,7.559899807
3,Iceland,Western Europe,3.49985372447753,71807.13843934036,6.48114726265749,0.4971922700768987,125.39641912972866,82.85666666666667,12.558000000000002,0.9686666666666666,2.7626666666666666,10.7955,71.98051,8.405000000000001,10.977633333333332,40.680056487,7.504499912
4,Norway,Western Europe,14.549638434733632,77863.5484192587,6.95651980294718,33.316819417917095,117.51274394474099,82.27233333333334,12.842999999999998,0.9903333333333334,3.7693333333333334,8.2775,71.36238,10.185,10.139,74.8201041185,7.487999916
5,Netherlands,Western Europe,511.90767250767266,51349.964961925965,12.0344080729237,10.9187209187209,113.294573290752,82.14233333333333,12.345999999999998,0.9666666666666667,3.955,9.5685,71.43514,10.015,9.323333333333332,66.04461840766668,7.448900223
6,Sweden,Western Europe,24.970169322301633,53439.99962014333,6.18466509039924,68.6946060739977,108.52437457583368,82.65666666666668,12.466666666666667,0.9823333333333334,6.513333333333333,4.1795,71.91155,10.844999999999999,12.518799999999999,61.97962721766667,7.353499889
7,New Zealand,North America and ANZ,18.6010152798349,43018.060513526325,5.95600112941562,37.435620877799295,112.43753671470999,82.14566666666667,12.712666666666669,0.964,4.356333333333333,7.4955,70.23531,9.115,11.032333333333334,209.59882215566665,7.299600124
8,Austria,Western Europe,107.11749474874767,49629.280186066964,12.4779667308248,47.16396025206013,116.11186872861633,81.438,12.554666666666668,0.965,5.007000000000001,7.84,70.94293,10.355,10.787433333333334,101.57469064633335,7.294199944
9,Luxembourg,Western Europe,250.24513031550032,113445.74216229767,10.3646374004433,36.5020576131687,113.20562987229634,82.10233333333333,12.234333333333334,0.9753333333333334,5.489999999999999,15.7365,71.55128,5.275,8.06,103.39363591866667,7.237500191
10,Canada,North America and ANZ,4.134468822836349,45970.25749061457,6.42838313258525,38.70376257074733,114.422343064301,82.31833333333333,13.331999999999999,0.9886666666666667,5.911666666666666,15.4405,71.25137,10.79,10.837166666666667,107.747748631,7.23210001
11,Australia,North America and ANZ,3.24796750398465,55330.105177180936,8.55032440147794,17.421847577099367,117.79396462018731,83.281,12.697000000000001,0.976,5.385666666666666,16.921,70.93405,9.245000000000001,11.435533333333334,173.9147986195,7.222799778
12,United Kingdom,Western Europe,274.673845051599,42525.068637900265,10.4726903888942,13.1153639482495,117.38178903889998,81.24133333333333,13.027666666666667,0.9686666666666666,4.060666666666666,5.7255,70.13491,9.915,7.066666666666666,141.14548665249998,7.164500237
13,Israel,Middle East and North Africa,410.5067775723967,42262.94348845717,21.3811022400146,6.46950092421442,107.282888052119,82.81733333333334,12.984333333333334,0.973,4.0246666666666675,7.757,72.37872,7.51,5.123333333333333,232.796405403,7.128600121
14,Costa Rica,Latin America and Caribbean,97.90415850633245,12468.2754484485,15.7259203021082,58.79618749183967,126.16821174550365,80.09633333333333,8.692,0.98,9.876,1.5955,69.97371,7.445,6.733333333333333,175.2973053865,7.121399879
